model,model_id,fold,LAMBDA_LASSO,lasso_lambda,LAMBDA_NETWORK,MSE,Turnover_econ,Turnover_seq,Sparsity,n_alive,Density,FitTime_s,LAMBDA_EXOG,self_free,NETWORK_THRESHOLD,USE_LAST_DAY,LAMBDA_TURNOVER
M4,4,1,0.0001,0.0001,0.0001,2.0943428048253526e-05,1.1599218856289457,0.4442169718919193,0.9051709291311462,44050,0.21953129077718045,22.040377855300903,0.0005,True,0.7,True,
M4,4,2,0.0001,0.0001,0.0001,1.957720492110227e-05,1.126135453169977,0.4391958433734179,0.8853892189787307,53239,0.3802521008403361,34.11267566680908,0.0005,True,0.7,True,
M4,4,3,0.0001,0.0001,0.0001,1.6436304104347105e-05,1.0240915888100657,0.3594805296918137,0.9109015758202015,41388,0.24942585729944153,29.857415914535522,0.0005,True,0.7,True,
M4,4,1,0.0001,0.0001,0.0005,2.0903862426310958e-05,1.1460912178095977,0.45227779256960104,0.9208494790321192,36767,0.26569758338117855,29.966099739074707,0.0005,True,0.7,False,
M4,4,2,0.0001,0.0001,0.0005,1.930454855363378e-05,1.101129875661519,0.41584768949819295,0.9207633686385946,36807,0.2753275223132731,39.4980251789093,0.0005,True,0.7,False,
M4,4,3,0.0001,0.0001,0.0005,1.6372194083614826e-05,1.008427287566693,0.3620833806965489,0.9296693360888659,32670,0.25228352210449395,39.53432273864746,0.0005,True,0.7,False,
M4,4,1,0.0001,0.0001,0.0005,2.0783443319865444e-05,1.138876742180487,0.4408178688959773,0.9295810729355033,32711,0.21953129077718045,28.613211393356323,0.0005,True,0.7,True,
M4,4,2,0.0001,0.0001,0.0005,1.955357888932529e-05,1.1184367461630373,0.4419157935482447,0.8977761990872298,47485,0.3802521008403361,49.045522928237915,0.0005,True,0.7,True,
M4,4,3,0.0001,0.0001,0.0005,1.6329724729523873e-05,1.0091014857743823,0.360334630198506,0.9287005941617154,33120,0.24942585729944153,39.28924107551575,0.0005,True,0.7,True,
M4,4,1,0.0001,0.0001,0.001,2.0903862427554996e-05,1.1460912178496823,0.4522777925878782,0.9208494790321192,36767,0.26569758338117855,31.462164640426636,0.0005,True,0.7,False,
M4,4,2,0.0001,0.0001,0.001,1.9304548553753155e-05,1.1011298756616748,0.41584768949596135,0.9207633686385946,36807,0.2753275223132731,37.62122464179993,0.0005,True,0.7,False,
M4,4,3,0.0001,0.0001,0.001,1.6372194083644604e-05,1.0084272875687816,0.3620833806990776,0.9296693360888659,32670,0.25228352210449395,39.072457790374756,0.0005,True,0.7,False,
M4,4,1,0.0001,0.0001,0.001,2.0783443320134692e-05,1.138876742185818,0.44081786890215213,0.9295810729355033,32711,0.21953129077718045,27.872877836227417,0.0005,True,0.7,True,
M4,4,2,0.0001,0.0001,0.001,1.9553578889492183e-05,1.118436746167197,0.44191579354614613,0.8977761990872298,47485,0.3802521008403361,47.47865533828735,0.0005,True,0.7,True,
M4,4,3,0.0001,0.0001,0.001,1.6329724729542897e-05,1.009101485770624,0.3603346301990855,0.9287005941617154,33120,0.24942585729944153,38.035576820373535,0.0005,True,0.7,True,
M4,4,1,0.0001,0.0001,0.005,2.0903862426407547e-05,1.1460912178161045,0.45227779256373823,0.9208494790321192,36767,0.26569758338117855,20.21138048171997,0.0005,True,0.7,False,
M4,4,2,0.0001,0.0001,0.005,1.9304548553745474e-05,1.1011298756620387,0.4158476894955955,0.9207633686385946,36807,0.2753275223132731,25.362213850021362,0.0005,True,0.7,False,
M4,4,3,0.0001,0.0001,0.005,1.6372194083645817e-05,1.0084272875679914,0.36208338069905655,0.9296693360888659,32670,0.25228352210449395,25.02004337310791,0.0005,True,0.7,False,
M4,4,1,0.0001,0.0001,0.005,2.078344332012908e-05,1.1388767421851909,0.4408178689027561,0.9295810729355033,32711,0.21953129077718045,16.277998208999634,0.0005,True,0.7,True,
M4,4,2,0.0001,0.0001,0.005,1.95535788895115e-05,1.1184367461664213,0.44191579354735233,0.8977761990872298,47485,0.3802521008403361,33.533621311187744,0.0005,True,0.7,True,
M4,4,3,0.0001,0.0001,0.005,1.6329724729542887e-05,1.0091014857718934,0.3603346301982243,0.9287005941617154,33120,0.24942585729944153,24.377402782440186,0.0005,True,0.7,True,
M4,4,1,0.0001,0.0001,0.01,2.0903862426407547e-05,1.1460912178161045,0.45227779256373823,0.9208494790321192,36767,0.26569758338117855,20.358424186706543,0.0005,True,0.7,False,
M4,4,2,0.0001,0.0001,0.01,1.9304548553745474e-05,1.1011298756620387,0.4158476894955955,0.9207633686385946,36807,0.2753275223132731,24.301963567733765,0.0005,True,0.7,False,
M4,4,3,0.0001,0.0001,0.01,1.6372194083645817e-05,1.0084272875679914,0.36208338069905655,0.9296693360888659,32670,0.25228352210449395,24.7874116897583,0.0005,True,0.7,False,
M4,4,1,0.0001,0.0001,0.01,2.078344332012908e-05,1.1388767421851909,0.4408178689027561,0.9295810729355033,32711,0.21953129077718045,16.00136923789978,0.0005,True,0.7,True,
M4,4,2,0.0001,0.0001,0.01,1.95535788895115e-05,1.1184367461664213,0.44191579354735233,0.8977761990872298,47485,0.3802521008403361,32.34093928337097,0.0005,True,0.7,True,
M4,4,3,0.0001,0.0001,0.01,1.6329724729542887e-05,1.0091014857718934,0.3603346301982243,0.9287005941617154,33120,0.24942585729944153,21.558918237686157,0.0005,True,0.7,True,
M4,4,1,0.0001,0.0001,0.0001,2.042051231910699e-05,1.128259804990546,0.3930076175576789,0.9298200292775338,32600,0.07127198705569185,16.438440561294556,0.0005,True,0.8,False,
M4,4,2,0.0001,0.0001,0.0001,1.8888035958304506e-05,1.079535021825455,0.3674256227498096,0.9337961766985275,30753,0.0724594185500287,20.457597494125366,0.0005,True,0.8,False,
M4,4,3,0.0001,0.0001,0.0001,1.6146574214380466e-05,1.0011403160570311,0.3251678604838013,0.9401597347799879,27797,0.06607860535518555,23.396799087524414,0.0005,True,0.8,False,
M4,4,1,0.0001,0.0001,0.0001,2.0504152733909642e-05,1.1328560053985206,0.4038617283270969,0.9259472143287695,34399,0.0939767211232319,19.08058261871338,0.0005,True,0.8,True,
M4,4,2,0.0001,0.0001,0.0001,1.9204304000535e-05,1.1018006716728441,0.4019966807692647,0.9129316283475416,40445,0.20289420115872436,26.01315975189209,0.0005,True,0.8,True,
M4,4,3,0.0001,0.0001,0.0001,1.6206462450799023e-05,1.008159773654996,0.33504440378428035,0.931279600447774,31922,0.11879534422464638,24.2095308303833,0.0005,True,0.8,True,
M4,4,1,0.0001,0.0001,0.0005,2.0045966027078537e-05,1.0748134822668396,0.3828513969610347,0.9719796779471283,13016,0.07127198705569185,9.91566801071167,0.0005,True,0.8,False,
M4,4,2,0.0001,0.0001,0.0005,1.8757618017881625e-05,1.042841864696275,0.3664432497472806,0.9720162748643761,12999,0.0724594185500287,12.337682247161865,0.0005,True,0.8,False,
M4,4,3,0.0001,0.0001,0.0005,1.595528039105933e-05,0.9659534724004019,0.3269248157190167,0.9747718074571601,11719,0.06607860535518555,14.06696105003357,0.0005,True,0.8,False,
M4,4,1,0.0001,0.0001,0.0005,2.0231928972544346e-05,1.0911649456702361,0.39707816266239016,0.963859467837768,16788,0.0939767211232319,11.491291046142578,0.0005,True,0.8,True,
M4,4,2,0.0001,0.0001,0.0005,1.910502569473424e-05,1.0823836809414447,0.4041291451187289,0.9366528890037027,29426,0.20289420115872436,20.270535707473755,0.0005,True,0.8,True,
M4,4,3,0.0001,0.0001,0.0005,1.606776655653323e-05,0.9818666164814629,0.33742952241388885,0.9595582536812193,18786,0.11879534422464638,16.9046893119812,0.0005,True,0.8,True,
M4,4,1,0.0001,0.0001,0.001,2.00469250542164e-05,1.0748398478366143,0.38287544573318727,0.9720098165848617,13002,0.07127198705569185,9.938198566436768,0.0005,True,0.8,False,
M4,4,2,0.0001,0.0001,0.001,1.8757736231457154e-05,1.042838381932108,0.36644352788844287,0.9720313441832429,12992,0.0724594185500287,12.663684606552124,0.0005,True,0.8,False,
M4,4,3,0.0001,0.0001,0.001,1.5955377254546493e-05,0.965946449182684,0.32693091861828916,0.9747782657366744,11716,0.06607860535518555,18.76573657989502,0.0005,True,0.8,False,
M4,4,1,0.0001,0.0001,0.001,2.023263808441802e-05,1.0911650673323032,0.3970989496377736,0.9638680788771204,16784,0.0939767211232319,16.99573826789856,0.0005,True,0.8,True,
