model,model_id,LAMBDA_LASSO,LAMBDA_EXOG,LAMBDA_NETWORK,NETWORK_THRESHOLD,lasso_lambda,self_free,USE_LAST_DAY,mean_val_mse,std_val_mse,mean_turnover_econ,mean_turnover_seq,mean_sparsity,mean_n_alive,mean_density,mean_fit_time_s
M4,4,0.0005,0.0005,0.0001,0.85,0.0005,True,False,1.8089609571074602e-05,1.917588248833922e-06,0.9873500366995084,0.3393086281261337,0.9969122248055341,1434.3333333333333,0.03001635436783409,5.2228288650512695
M4,4,0.0005,0.0005,0.0001,0.85,0.0005,True,True,1.8088739219532544e-05,1.9160648248825842e-06,0.987618909993886,0.33904201691390834,0.9967981285341141,1487.3333333333333,0.08814830279938063,5.123042901357015
M4,4,0.0001,0.0005,0.0005,0.85,0.0001,True,False,1.8123256046667856e-05,2.0005526886525752e-06,1.0097567500983358,0.34552717301902414,0.9857085450213842,6638.666666666667,0.03001635436783409,8.560896714528402
M4,4,0.0001,0.0005,0.0005,0.85,0.0001,True,True,1.8334928855044964e-05,2.079607988126241e-06,1.0331931420371865,0.3678634973919423,0.9672242314647378,15225.0,0.08814830279938063,11.236050923665365
M4,4,0.0003,0.0005,0.0005,0.85,0.0003,True,False,1.8068424363628558e-05,1.928829433253055e-06,0.9904338491538488,0.3377065625063193,0.9950041620023536,2320.6666666666665,0.03001635436783409,5.973198016484578
M4,4,0.0003,0.0005,0.0005,0.85,0.0003,True,True,1.806264184472922e-05,1.9272497939724307e-06,0.9939533763425485,0.3357758435071128,0.9928054766210281,3342.0,0.08814830279938063,6.322879076004028
M4,4,0.0005,0.0005,0.0005,0.85,0.0005,True,False,1.8093674164572262e-05,1.9227466409546595e-06,0.986861579470772,0.3399637059801191,0.9971289359625707,1333.6666666666667,0.03001635436783409,4.95693572362264
M4,4,0.0005,0.0005,0.0005,0.85,0.0005,True,True,1.809157830702188e-05,1.919487212421105e-06,0.9872640949594453,0.3395109856298804,0.9969624558684234,1411.0,0.08814830279938063,5.0186061064402265
M4,4,0.0001,0.0005,0.001,0.85,0.0001,True,False,1.812517409447562e-05,2.002283706738109e-06,1.0096501021392692,0.3457463582202547,0.9857702574700767,6610.0,0.03001635436783409,8.184534867604574
M4,4,0.0001,0.0005,0.001,0.85,0.0001,True,True,1.8335615080049342e-05,2.0804341968707033e-06,1.0331833258342245,0.36789943237668127,0.9672371480237665,15219.0,0.08814830279938063,11.10850461324056
M4,4,0.0003,0.0005,0.001,0.85,0.0003,True,False,1.8068424363613697e-05,1.9288294332542814e-06,0.9904338491524433,0.33770656250866465,0.9950041620023536,2320.6666666666665,0.03001635436783409,5.690900564193726
